timestamp_iso,metric_name,value_ms
2025-08-05T19:27:49.449Z,ntru_encapsulation,13.432400000005146
2025-08-05T19:27:54.459Z,ntru_encapsulation,14.055099999997765
2025-08-05T19:27:59.470Z,ntru_encapsulation,17.52950000000419
2025-08-05T19:28:04.470Z,ntru_encapsulation,16.8096000000005
2025-08-05T19:28:09.484Z,ntru_encapsulation,17.772400000001653
2025-08-05T19:28:14.489Z,ntru_encapsulation,18.410100000008242
2025-08-05T19:28:19.496Z,ntru_encapsulation,13.465700000000652
2025-08-05T19:28:24.507Z,ntru_encapsulation,17.073000000003958
2025-08-05T19:28:29.514Z,ntru_encapsulation,16.551399999996647
2025-08-05T19:28:34.526Z,ntru_encapsulation,14.590200000006007
2025-08-05T19:28:39.537Z,ntru_encapsulation,13.250800000008894
2025-08-05T19:28:44.546Z,ntru_encapsulation,15.751499999998487
2025-08-05T19:28:49.556Z,ntru_encapsulation,13.376799999998184
2025-08-05T19:28:54.572Z,ntru_encapsulation,16.28320000000531
2025-08-05T19:28:59.581Z,ntru_encapsulation,17.377000000007683
2025-08-05T19:29:04.581Z,ntru_encapsulation,17.183300000004238
2025-08-05T19:29:09.592Z,ntru_encapsulation,17.60700000000361
2025-08-05T19:29:14.598Z,ntru_encapsulation,16.028800000000047
2025-08-05T19:29:19.599Z,ntru_encapsulation,17.544099999999162
2025-08-05T19:29:24.614Z,ntru_encapsulation,17.128200000006473
2025-08-05T19:29:29.627Z,ntru_encapsulation,16.488699999987148
2025-08-05T19:29:34.632Z,ntru_encapsulation,17.115300000004936
2025-08-05T19:29:39.642Z,ntru_encapsulation,16.843100000027334
2025-08-05T19:29:44.652Z,ntru_encapsulation,13.604699999996228
2025-08-05T19:29:49.666Z,ntru_encapsulation,15.13320000001113
2025-08-05T19:29:54.670Z,ntru_encapsulation,16.84470000001602
2025-08-05T19:29:59.680Z,ntru_encapsulation,14.169599999993807
2025-08-05T19:30:04.688Z,ntru_encapsulation,17.22060000000056
2025-08-05T19:30:09.698Z,ntru_encapsulation,16.142599999991944
2025-08-05T19:30:14.706Z,ntru_encapsulation,17.099199999996927
2025-08-05T19:30:19.716Z,ntru_encapsulation,16.544800000003306
2025-08-05T19:30:24.714Z,ntru_encapsulation,12.391900000016904
2025-08-05T19:30:29.728Z,ntru_encapsulation,18.445999999996275
2025-08-05T19:30:34.728Z,ntru_encapsulation,15.3690999999817
2025-08-05T19:30:39.730Z,ntru_encapsulation,15.098700000002282
2025-08-05T19:30:44.740Z,ntru_encapsulation,13.672400000010384
2025-08-05T19:30:49.750Z,ntru_encapsulation,13.132400000002235
2025-08-05T19:30:54.754Z,ntru_encapsulation,14.017500000016298
2025-08-05T19:30:59.763Z,ntru_encapsulation,17.160199999983888
2025-08-05T19:31:04.775Z,ntru_encapsulation,17.706099999981234
2025-08-05T19:31:09.789Z,ntru_encapsulation,16.52270000000135
2025-08-05T19:31:14.796Z,ntru_encapsulation,16.613000000012107
2025-08-05T19:31:19.795Z,ntru_encapsulation,12.461999999999534
2025-08-05T19:31:24.803Z,ntru_encapsulation,15.7212999999756
2025-08-05T19:31:29.810Z,ntru_encapsulation,17.54529999999795
2025-08-05T19:31:34.811Z,ntru_encapsulation,13.987299999978859
2025-08-05T19:31:39.825Z,ntru_encapsulation,13.847499999974389
2025-08-05T19:31:44.827Z,ntru_encapsulation,14.817999999970198
2025-08-05T19:31:49.834Z,ntru_encapsulation,13.371800000022631
2025-08-05T19:31:54.835Z,ntru_encapsulation,13.51459999999497
2025-08-05T19:31:59.843Z,ntru_encapsulation,14.536100000026636
2025-08-05T19:32:04.854Z,ntru_encapsulation,21.035399999993388
2025-08-05T19:32:09.866Z,ntru_encapsulation,17.770799999998417
2025-08-05T19:32:14.868Z,ntru_encapsulation,18.053799999994226
2025-08-05T19:32:19.877Z,ntru_encapsulation,14.57870000001276
2025-08-05T19:32:24.893Z,ntru_encapsulation,17.034299999999348
2025-08-05T19:32:29.902Z,ntru_encapsulation,17.573599999945145
2025-08-05T19:32:34.902Z,ntru_encapsulation,17.526200000022072
2025-08-05T19:32:39.912Z,ntru_encapsulation,17.90700000000652
2025-08-05T19:32:44.921Z,ntru_encapsulation,16.57789999997476
2025-08-05T19:32:49.929Z,ntru_encapsulation,17.12170000001788
2025-08-05T19:32:54.936Z,ntru_encapsulation,13.54879999998957
2025-08-05T19:32:59.948Z,ntru_encapsulation,13.258499999996275
2025-08-05T19:33:04.953Z,ntru_encapsulation,15.145599999988917
2025-08-05T19:33:09.964Z,ntru_encapsulation,13.787899999995716
2025-08-05T19:33:14.973Z,ntru_encapsulation,15.93819999997504
2025-08-05T19:33:19.986Z,ntru_encapsulation,16.771000000007916
2025-08-05T19:33:24.992Z,ntru_encapsulation,17.274000000033993
2025-08-05T19:33:29.993Z,ntru_encapsulation,16.12270000000717
2025-08-05T19:33:35.008Z,ntru_encapsulation,16.99849999998696
2025-08-05T19:33:40.009Z,ntru_encapsulation,13.364000000001397
2025-08-05T19:33:45.024Z,ntru_encapsulation,13.557799999951385
2025-08-05T19:33:50.041Z,ntru_encapsulation,14.845800000010058
2025-08-05T19:33:55.052Z,ntru_encapsulation,16.226900000008754
2025-08-05T19:34:00.056Z,ntru_encapsulation,15.632100000046194
2025-08-05T19:34:05.070Z,ntru_encapsulation,16.99500000005355
2025-08-05T19:34:10.071Z,ntru_encapsulation,12.84250000002794
2025-08-05T19:34:15.087Z,ntru_encapsulation,16.695699999982025
2025-08-05T19:34:20.095Z,ntru_encapsulation,13.299300000013318
2025-08-05T19:34:25.116Z,ntru_encapsulation,21.378599999996368
